benchmark_family,stress_scenario,dataset_size,framework,workload,n_rows,n_runs,time_mean_s,time_std_s,memory_mean_mb,memory_std_mb,throughput_mean_rows_s,throughput_std_rows_s,time_cv,memory_gb,rows_per_second_m,seconds_per_million_rows,real_10m_time_s,real_10m_memory_mb,time_ratio_vs_real_10m,memory_ratio_vs_real_10m,stress_label
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,filter,10000000.0,3,16.111,0.12853478128506834,6332.7699999999995,5.232809952597583,620719.3333333334,4944.654723368782,0.00797807592856237,6.1843457031249995,0.6207193333333334,1.6111,31.5136,6576.446666666667,0.5112395917952884,0.9629470625981406,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,groupby,10000000.0,3,15.830366666666668,0.1385388874407953,6231.613333333334,141.6919264931259,631729.6666666666,5539.310095430043,0.008751464217977387,6.085559895833334,0.6317296666666666,1.5830366666666669,27.274833333333333,6374.743333333333,0.5804019578488107,0.9775473313173917,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,join,10000000.0,3,24.77423333333333,0.04717630054734266,8289.476666666667,206.0397326569165,403646.6666666667,768.221539227664,0.0019042486567633844,8.095192057291667,0.4036466666666667,2.4774233333333333,40.881033333333335,8501.963333333333,0.6060080020808345,0.975007341441526,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,pipeline,10000000.0,3,20.558066666666665,0.07200592568208058,7004.876666666667,28.653909564548858,486431.0,1700.8600765495084,0.0035025630984470294,6.840699869791667,0.486431,2.0558066666666663,28.337466666666668,7397.82,0.7254729898226611,0.9468839018341441,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,filter,10000000.0,3,1.8907666666666667,0.029577243504649568,4625.123333333333,28.4144265001662,5289777.333333333,83061.7376433539,0.015642989706811824,4.516722005208333,5.289777333333333,0.18907666666666667,1.7927666666666668,4423.836666666667,1.0546641131956194,1.0455004743243232,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,groupby,10000000.0,3,2.6735333333333333,0.1381601003666883,5328.64,87.7987904244698,3746846.3333333335,188002.5932383204,0.05167696944119703,5.20375,3.7468463333333335,0.26735333333333333,2.9393333333333334,5351.02,0.909571331367657,0.9958176198182777,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,join,10000000.0,3,2.8174000000000006,0.22675422818549598,5793.983333333334,24.373841169034584,3564206.3333333335,275753.0628702669,0.08048350542539076,5.658186848958334,3.5642063333333334,0.28174000000000005,3.8077,5639.506666666667,0.7399217375318435,1.0273918758851246,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,pipeline,10000000.0,3,4.3807,0.46414147627636154,5822.366666666666,64.22750916338964,2299033.3333333335,230716.30337783525,0.10595144070042722,5.685904947916666,2.2990333333333335,0.43807,4.9768,5500.72,0.8802242404758078,1.0584735574009703,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,filter,10000000.0,3,2.4144,0.2708387527662906,3864.01,104.15945132343994,4174883.6666666665,442123.9642999838,0.11217642178855641,3.773447265625,4.174883666666666,0.24144000000000002,3.6329666666666665,3398.5866666666666,0.6645808292579986,1.1369461423179832,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,groupby,10000000.0,3,0.6236666666666667,0.01623401778160091,1176.9866666666667,97.24072415060128,16042010.666666666,412821.4818118523,0.026029959029825078,1.1494010416666667,16.042010666666666,0.06236666666666667,4.271966666666667,4922.576666666667,0.14599052739175555,0.2390997126843462,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,join,10000000.0,3,7.5641,0.18511096671996485,6117.653333333333,39.51664754674019,1322564.3333333333,32327.81889229976,0.024472305590878606,5.974270833333333,1.3225643333333332,0.75641,10.287166666666666,5458.736666666667,0.7352947847641884,1.1207086377128772,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,pipeline,10000000.0,3,5.106166666666667,0.6657480704691027,2247.26,42.770227962918256,1981694.0,268379.5427580128,0.130381186892144,2.19458984375,1.981694,0.5106166666666667,7.786333333333332,5922.453333333334,0.6557857785007921,0.37944748122399724,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,dask,filter,10000000.0,3,4.8520666666666665,0.16832876561459498,6874.423333333333,27.7971623251963,2062653.6666666667,72968.25489439451,0.0346921790607291,6.713304036458333,2.062653666666667,0.4852066666666667,6.198,6401.856666666667,0.7828439281488652,1.0738171270105494,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,dask,groupby,10000000.0,3,0.7064666666666666,0.048376061573192686,3022.09,31.879035430828264,14201149.666666666,1010707.2757026799,0.06847607092553462,2.951259765625,14.201149666666666,0.07064666666666666,5.095,3934.8333333333335,0.13865881583251552,0.7680350713710873,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,dask,join,10000000.0,3,24.5517,2.479917746619836,10768.413333333332,1173.6272920451927,409957.0,39411.7384924847,0.10100798505275953,10.516028645833332,0.409957,2.45517,63.657900000000005,9283.42,0.3856819027960394,1.1599618818639394,10M_skewed
synthetic_stress,heavy_skew_10M,10M_skewed,dask,pipeline,10000000.0,3,24.779433333333333,0.5891071747427055,2870.98,39.40462409413369,403711.6666666667,9522.208217285175,0.023774037396982663,2.80369140625,0.4037116666666667,2.477943333333333,24.280366666666666,4398.683333333333,1.0205543299044084,0.652690767312946,10M_skewed
synthetic_stress,high_unique_id_10M,10M_highuid,pandas,filter,10000000.0,3,27.7767,8.70513107483167,7160.036666666667,32.54974398260811,381202.0,101465.3301428621,0.3133968784928256,6.992223307291667,0.381202,2.77767,31.5136,6576.446666666667,0.8814194506498781,1.088739410441505,10M_highuid
