benchmark_family,stress_scenario,dataset_size,framework,workload,n_rows,n_runs,time_mean_s,time_std_s,memory_mean_mb,memory_std_mb,throughput_mean_rows_s,throughput_std_rows_s,time_cv,memory_gb,rows_per_second_m,seconds_per_million_rows
real_baseline,real_baseline,10M,pandas,filter,10000000.0,3,31.5136,3.6558622074689837,6576.446666666667,13.882047159311183,320402.6666666667,39822.49737690158,0.11600903125853548,6.422311197916667,0.32040266666666667,3.15136
real_baseline,real_baseline,10M,pandas,groupby,10000000.0,3,27.274833333333333,4.652513924034333,6374.743333333333,58.02900079557943,373233.3333333333,57995.5025353978,0.17057900472478293,6.225335286458333,0.3732333333333333,2.7274833333333333
real_baseline,real_baseline,10M,pandas,join,10000000.0,3,40.881033333333335,7.079329153481516,8501.963333333333,15.629057339881538,249919.33333333334,46121.824403782346,0.17316903650058216,8.302698567708333,0.24991933333333335,4.088103333333334
real_baseline,real_baseline,10M,pandas,pipeline,10000000.0,3,28.337466666666668,0.1604351686299886,7397.82,38.843188592081745,352897.0,2002.9775335734548,0.005661591790020818,7.22443359375,0.352897,2.833746666666667
real_baseline,real_baseline,10M,polars_eager,filter,10000000.0,3,1.7927666666666668,0.07472143824454486,4423.836666666667,109.25607366793527,5584166.333333333,227493.06513019986,0.04167939957489068,4.320152994791667,5.584166333333333,0.1792766666666667
real_baseline,real_baseline,10M,polars_eager,groupby,10000000.0,3,2.9393333333333334,0.10784230771516952,5351.02,134.58657176702295,3405174.6666666665,124583.53708389141,0.03668937663251401,5.22560546875,3.4051746666666665,0.2939333333333333
real_baseline,real_baseline,10M,polars_eager,join,10000000.0,3,3.8077,0.5562125223329658,5639.506666666667,112.45428419288196,2667176.3333333335,420628.80914689304,0.14607572086376705,5.507330729166667,2.6671763333333334,0.38077
real_baseline,real_baseline,10M,polars_eager,pipeline,10000000.0,3,4.9768,0.25934384511686437,5500.72,34.513190232141845,2013066.6666666667,107958.3908472766,0.052110562031197634,5.371796875,2.0130666666666666,0.49768
real_baseline,real_baseline,10M,polars_lazy,filter,10000000.0,3,3.6329666666666665,0.14908408142163712,3398.5866666666666,17.769137101540316,2755600.0,111115.61088793959,0.041036457281460645,3.3189322916666666,2.7556,0.36329666666666666
real_baseline,real_baseline,10M,polars_lazy,groupby,10000000.0,3,4.271966666666667,0.14683631476352632,4922.576666666667,270.2229258100306,2342671.0,79857.2294786139,0.03437206472355269,4.807203776041667,2.342671,0.42719666666666667
real_baseline,real_baseline,10M,polars_lazy,join,10000000.0,3,10.287166666666666,0.38826401241079866,5458.736666666667,55.38651490510388,972993.3333333334,36072.19174562772,0.037742560706135346,5.330797526041667,0.9729933333333334,1.0287166666666665
real_baseline,real_baseline,10M,polars_lazy,pipeline,10000000.0,3,7.786333333333332,0.218100764174116,5922.453333333334,110.6414372345789,1284976.0,36014.40067528543,0.028010715035846914,5.783645833333334,1.284976,0.7786333333333333
real_baseline,real_baseline,10M,dask,filter,10000000.0,3,6.198,0.17067363592541168,6401.856666666667,201.7030426972617,1614246.0,44839.889874976274,0.027536888661731474,6.251813151041667,1.614246,0.6198
