benchmark_family,stress_scenario,dataset_size,framework,workload,n_rows,n_runs,time_mean_s,time_std_s,memory_mean_mb,memory_std_mb,throughput_mean_rows_s,throughput_std_rows_s,time_cv,memory_gb,rows_per_second_m,seconds_per_million_rows
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,filter,10000000.0,3,16.111,0.12853478128506834,6332.7699999999995,5.232809952597583,620719.3333333334,4944.654723368782,0.00797807592856237,6.1843457031249995,0.6207193333333334,1.6111
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,groupby,10000000.0,3,15.830366666666668,0.1385388874407953,6231.613333333334,141.6919264931259,631729.6666666666,5539.310095430043,0.008751464217977387,6.085559895833334,0.6317296666666666,1.5830366666666669
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,join,10000000.0,3,24.77423333333333,0.04717630054734266,8289.476666666667,206.0397326569165,403646.6666666667,768.221539227664,0.0019042486567633844,8.095192057291667,0.4036466666666667,2.4774233333333333
synthetic_stress,heavy_skew_10M,10M_skewed,pandas,pipeline,10000000.0,3,20.558066666666665,0.07200592568208058,7004.876666666667,28.653909564548858,486431.0,1700.8600765495084,0.0035025630984470294,6.840699869791667,0.486431,2.0558066666666663
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,filter,10000000.0,3,1.8907666666666667,0.029577243504649568,4625.123333333333,28.4144265001662,5289777.333333333,83061.7376433539,0.015642989706811824,4.516722005208333,5.289777333333333,0.18907666666666667
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,groupby,10000000.0,3,2.6735333333333333,0.1381601003666883,5328.64,87.7987904244698,3746846.3333333335,188002.5932383204,0.05167696944119703,5.20375,3.7468463333333335,0.26735333333333333
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,join,10000000.0,3,2.8174000000000006,0.22675422818549598,5793.983333333334,24.373841169034584,3564206.3333333335,275753.0628702669,0.08048350542539076,5.658186848958334,3.5642063333333334,0.28174000000000005
synthetic_stress,heavy_skew_10M,10M_skewed,polars_eager,pipeline,10000000.0,3,4.3807,0.46414147627636154,5822.366666666666,64.22750916338964,2299033.3333333335,230716.30337783525,0.10595144070042722,5.685904947916666,2.2990333333333335,0.43807
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,filter,10000000.0,3,2.4144,0.2708387527662906,3864.01,104.15945132343994,4174883.6666666665,442123.9642999838,0.11217642178855641,3.773447265625,4.174883666666666,0.24144000000000002
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,groupby,10000000.0,3,0.6236666666666667,0.01623401778160091,1176.9866666666667,97.24072415060128,16042010.666666666,412821.4818118523,0.026029959029825078,1.1494010416666667,16.042010666666666,0.06236666666666667
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,join,10000000.0,3,7.5641,0.18511096671996485,6117.653333333333,39.51664754674019,1322564.3333333333,32327.81889229976,0.024472305590878606,5.974270833333333,1.3225643333333332,0.75641
synthetic_stress,heavy_skew_10M,10M_skewed,polars_lazy,pipeline,10000000.0,3,5.106166666666667,0.6657480704691027,2247.26,42.770227962918256,1981694.0,268379.5427580128,0.130381186892144,2.19458984375,1.981694,0.5106166666666667
synthetic_stress,heavy_skew_10M,10M_skewed,dask,filter,10000000.0,3,4.8520666666666665,0.16832876561459498,6874.423333333333,27.7971623251963,2062653.6666666667,72968.25489439451,0.0346921790607291,6.713304036458333,2.062653666666667,0.4852066666666667
