benchmark_family,stress_scenario,dataset_size,framework,workload,n_rows,n_runs,time_mean_s,time_std_s,memory_mean_mb,memory_std_mb,throughput_mean_rows_s,throughput_std_rows_s,time_cv,memory_gb,rows_per_second_m,seconds_per_million_rows,row_label
real_baseline,real_baseline,1M,polars_lazy,filter,1000000.0,3,0.37093333333333334,0.002902297940138673,688.36,16.612609668562012,2696172.0,20903.45423608261,0.007824311484917343,0.6722265625,2.696172,0.37093333333333334,1M
real_baseline,real_baseline,10M,polars_lazy,filter,10000000.0,3,3.6329666666666665,0.14908408142163712,3398.5866666666666,17.769137101540316,2755600.0,111115.61088793959,0.041036457281460645,3.3189322916666666,2.7556,0.36329666666666666,10M
real_baseline,real_baseline,50M,polars_lazy,filter,50000000.0,3,30.593999999999998,1.291195775240919,12443.096666666666,192.64409291056216,1636269.6666666667,69787.73120207689,0.0422042157037628,12.151461588541666,1.6362696666666667,0.61188,50M
synthetic_stress,100M_real_like,100M,polars_lazy,filter,100000000.0,3,81.0886,2.073491557735411,12117.460000000001,76.08181451569068,1233754.0,31372.25138557958,0.025570691289964444,11.833457031250001,1.233754,0.810886,100M
real_baseline,real_baseline,1M,dask,filter,1000000.0,3,0.6915999999999999,0.011720494870098267,1006.8433333333332,36.850586607723514,1446202.3333333333,24508.97203746685,0.016946927226862737,0.9832454427083333,1.4462023333333331,0.6915999999999999,1M
real_baseline,real_baseline,10M,dask,filter,10000000.0,3,6.198,0.17067363592541168,6401.856666666667,201.7030426972617,1614246.0,44839.889874976274,0.027536888661731474,6.251813151041667,1.614246,0.6198,10M
real_baseline,real_baseline,50M,dask,filter,50000000.0,3,33.80283333333333,3.3175398269400374,10589.163333333332,238.5902475654307,1488889.6666666667,148849.677209369,0.09814383883816556,10.340979817708332,1.4888896666666667,0.6760566666666666,50M
synthetic_stress,100M_real_like,100M,dask,filter,100000000.0,3,111.91983333333333,2.7137592161673663,11466.533333333333,569.9091177839965,893846.6666666666,21682.488425762684,0.02424734861858592,11.197786458333333,0.8938466666666667,1.1191983333333333,100M
real_baseline,real_baseline,1M,polars_lazy,groupby,1000000.0,3,0.6237666666666667,0.005971878543082862,1418.7666666666667,79.26085687988332,1603227.0,15189.745488322047,0.009573898161304219,1.3855143229166667,1.603227,0.6237666666666667,1M
real_baseline,real_baseline,10M,polars_lazy,groupby,10000000.0,3,4.271966666666667,0.14683631476352632,4922.576666666667,270.2229258100306,2342671.0,79857.2294786139,0.03437206472355269,4.807203776041667,2.342671,0.42719666666666667,10M
real_baseline,real_baseline,50M,polars_lazy,groupby,50000000.0,3,18.762633333333333,0.5539093638252862,12196.256666666668,16.877577827797158,2666408.6666666665,78052.60396894727,0.029521941509202843,11.910406901041668,2.6664086666666664,0.3752526666666667,50M
synthetic_stress,100M_real_like,100M,polars_lazy,groupby,100000000.0,3,12.661766666666665,0.40609064669520983,3540.15,221.03667093946197,7903117.0,249244.87347987722,0.032072194772336395,3.457177734375,7.903117,0.12661766666666666,100M
real_baseline,real_baseline,1M,dask,groupby,1000000.0,3,0.3179666666666667,0.01980715358988598,720.9033333333333,0.011547005383782014,3152860.0,190188.14263512855,0.06229317619211442,0.7040071614583333,3.15286,0.3179666666666667,1M
real_baseline,real_baseline,10M,dask,groupby,10000000.0,3,5.095,0.30379205058724,3934.8333333333335,100.96989914491013,1967452.6666666667,119688.6602495547,0.05962552513979196,3.8426106770833335,1.9674526666666667,0.5095,10M
real_baseline,real_baseline,50M,dask,groupby,50000000.0,3,11.238266666666666,0.40538466094973663,4695.3133333333335,157.4854343529375,4452943.0,161240.83704508608,0.036071813650064954,4.5852669270833335,4.452943,0.22476533333333332,50M
synthetic_stress,100M_real_like,100M,dask,groupby,100000000.0,3,17.161266666666666,0.32600969821974957,6270.38,285.46487472191717,5828483.333333333,111384.36446078647,0.01899683190944042,6.12341796875,5.828483333333333,0.17161266666666666,100M
